ts,open,high,low,close,volume
1787293200,2364.2,2364.2,2360,2361.4,192409
1787293260,2361.41,2363.39,2360.42,2360.46,91982
1787293320,2360.47,2361.62,2355.6,2356.87,359147
1787293380,2356.87,2357.24,2355.45,2355.81,175087
1787293440,2355.58,2358.68,2354.01,2358.64,247596
1787293500,2358.5,2359.27,2356.83,2359.1,134131
1787293560,2359.1,2364.36,2358.81,2362.06,229677
1787293620,2362.06,2363.63,2361.36,2362.12,67633
1787293680,2362.12,2362.12,2359.87,2360.45,59660
1787293740,2360.45,2361.32,2358.75,2359.56,66332
1787293800,2359.56,2362.23,2359.46,2362.23,47192
1787293860,2362.23,2364.49,2362.23,2363.28,68869
1787293920,2363.28,2368.21,2363.28,2367.77,259325
1787293980,2367.76,2369.43,2366.73,2368.88,244537
1787294040,2368.87,2369.92,2366.81,2369.79,195718
1787294100,2369.79,2371.36,2367.98,2371.06,153118
1787294160,2371.06,2371.07,2367.23,2368.31,127234
1787294220,2368.31,2368.7,2367.1,2368.03,77410
1787294280,2368.04,2370.39,2366.53,2370.39,102202
1787294340,2370.4,2372.96,2369.23,2371.58,152815
1787294400,2371.73,2372.23,2370.46,2371.12,120279
1787294460,2371.13,2371.56,2367.5,2367.55,119569
1787294520,2367.55,2367.56,2363,2363.16,197691
1787294580,2363.16,2369,2362.01,2369,311477
1787294640,2368.84,2373,2368.06,2368.58,553867
1787294700,2368.58,2368.92,2365.34,2366.12,196603
1787294760,2366.13,2366.36,2363.27,2363.47,108584
1787294820,2363.48,2371.4,2363.48,2369.98,189616
1787294880,2369.99,2371.88,2368.73,2371.88,111469
1787294940,2371.89,2383.77,2371.69,2376.44,1426857
1787295000,2376.44,2377.77,2372.41,2373.33,491232
1787295060,2373.33,2373.53,2370.32,2370.89,147002
1787295120,2370.9,2373.25,2368.14,2368.44,192348
1787295180,2368.44,2371.91,2368,2369.63,136159
1787295240,2369.63,2372.26,2369.63,2369.89,99362
1787295300,2369.9,2371.99,2369.77,2370.5,72599
1787295360,2370.5,2372.77,2370,2371.33,136643
1787295420,2371.41,2372.57,2370.6,2371.27,88405
1787295480,2371.26,2371.26,2369.5,2371.06,91780
1787295540,2371.06,2371.76,2370.29,2371.46,35297
1787295600,2371.45,2373.63,2369.66,2373.63,79531
1787295660,2373.64,2374.65,2372.2,2373.12,134996
1787295720,2373.11,2378.49,2372.36,2376.49,222472
1787295780,2376.35,2376.6,2374.2,2375.5,137207
1787295840,2375.51,2375.51,2372.01,2372.48,176034
1787295900,2372.48,2374.18,2371.02,2371.51,91619
1787295960,2371.51,2373.66,2371.2,2371.58,50200
1787296020,2371.73,2375.69,2371.73,2374.62,72508
1787296080,2374.71,2379.8,2374.5,2379.56,162244
1787296140,2379.47,2379.81,2374.52,2375.07,341738
1787296200,2375.22,2379.62,2375.21,2379.61,242601
1787296260,2379.61,2380.75,2376.51,2380.13,223449
1787296320,2380.13,2382.9,2378.41,2378.8,371814
1787296380,2378.81,2379.84,2378.24,2378.62,175303
1787296440,2378.38,2386.73,2378,2385.55,768758
1787296500,2385.46,2394.16,2383.79,2385.27,1539094
1787296560,2385.31,2397.99,2384.28,2388.53,1833265
1787296620,2388.69,2395.01,2385.67,2387.74,1541584
1787296680,2387.73,2389.42,2385.01,2387.08,576112
1787296740,2387.23,2389.89,2384.64,2385.08,350425
1787296800,2384.89,2387.02,2380,2383.85,356636
1787296860,2383.86,2383.86,2380.66,2381.18,229980
1787296920,2381.19,2382,2378.06,2378.81,380775
1787296980,2378.8,2382.87,2378.07,2380.76,238954
1787297040,2380.88,2381.87,2376.65,2376.66,211961
1787297100,2376.65,2382.45,2376.5,2381.46,157399
1787297160,2381.38,2382.18,2379.03,2379.17,95565
1787297220,2379.17,2379.58,2377.03,2377.71,101592
1787297280,2377.96,2380.4,2376.69,2380.08,115116
1787297340,2380.08,2381.42,2379.83,2380.75,97961
1787297400,2380.74,2383.9,2379.05,2382.07,145880
1787297460,2382.21,2388.01,2380.94,2383.78,356644
1787297520,2383.77,2387,2382.5,2385.84,247139
1787297580,2385.83,2387.69,2379.6,2380.04,229094
1787297640,2379.93,2380.73,2376.85,2378.08,291200
1787297700,2378.09,2378.74,2372,2376.18,386874
1787297760,2375.9,2377.49,2374,2374.27,190301
1787297820,2374.27,2375.41,2370.9,2372.89,265884
1787297880,2372.88,2376.2,2372.45,2374.33,194656
1787297940,2374.32,2383.55,2374.01,2381.46,376185
1787298000,2381.46,2383.45,2377.78,2381.04,289872
1787298060,2381.04,2381.81,2378.5,2380.1,148012
1787298120,2379.74,2383.65,2379.31,2383.64,113260
1787298180,2383.4,2386.68,2382.61,2383.38,240997
1787298240,2383.61,2383.61,2379.87,2379.87,208984
1787298300,2379.88,2381.76,2378.23,2380.77,190774
1787298360,2380.72,2381.29,2377.35,2378.95,164262
1787298420,2378.95,2381.72,2378.8,2381.72,115258
1787298480,2381.72,2382.6,2377.09,2377.44,85437
1787298540,2377.35,2377.44,2374.41,2375.83,209411
1787298600,2375.84,2376.49,2373.77,2373.96,159176
1787298660,2373.95,2374.71,2372,2373.2,201854
1787298720,2373.2,2374.5,2372.19,2373.53,170255
1787298780,2373.54,2373.89,2371.02,2371.16,155695
1787298840,2371.16,2373.37,2371,2372,237842
1787298900,2371.99,2373.41,2370.85,2370.86,102230
1787298960,2370.86,2373.03,2370.5,2371.87,120606
1787299020,2371.86,2372.22,2370.75,2371.19,68818
1787299080,2371.19,2371.93,2368.01,2369.67,395743
1787299140,2369.67,2371.95,2369,2371.65,183342
1787299200,2371.65,2374.59,2370.25,2374.3,327850
1787299260,2374.3,2377.33,2374.02,2376.51,265581
1787299320,2376.51,2377.68,2376,2376.67,99236
1787299380,2376.67,2380.18,2376.51,2379.92,165454
1787299440,2379.92,2379.96,2375.78,2377.14,153781
1787299500,2377.14,2378.4,2376.49,2378.16,122589
1787299560,2378.11,2378.11,2375.32,2377.68,84669
1787299620,2377.67,2382.31,2377.31,2381.95,178845
1787299680,2381.93,2387,2381.52,2386.4,353591
1787299740,2386.5,2386.89,2382.29,2385.19,368454
1787299800,2384.99,2385.37,2382.13,2382.43,277987
1787299860,2382.37,2384,2381.77,2382.25,93240
1787299920,2382.24,2387.11,2381.77,2385.84,179892
1787299980,2385.84,2388.5,2385.22,2387.77,230183
1787300040,2387.77,2391.3,2382.02,2383.16,399835
1787300100,2383.29,2386.06,2382.48,2384.46,238042
1787300160,2384.46,2388.6,2382.86,2384.82,184249
1787300220,2384.77,2387.94,2384,2387.07,118413
1787300280,2387.16,2390.98,2386.42,2390.33,285316
