ts,open,high,low,close,volume
1787315940,4567.77,4568.79,4564.37,4564.49,
1787316000,4564.49,4568.01,4563.56,4565.97,
1787316060,4565.93,4571.28,4565.61,4571.28,
1787316120,4571.27,4572.32,4570.42,4572.29,
1787316180,4572.3,4575.88,4571.22,4575.33,
1787316240,4575.33,4575.77,4572.05,4573.48,
1787316300,4573.44,4576.51,4573.05,4576.51,
1787316360,4576.51,4577.29,4575.82,4576.36,
1787316420,4576.36,4578.24,4576.08,4577.43,
1787316480,4577.4,4579.42,4577.39,4578.94,
1787316540,4578.95,4579.58,4577.93,4579.48,
1787316600,4579.48,4580.15,4578.96,4579.46,
1787316660,4579.37,4580,4577.19,4579.56,
1787316720,4579.56,4579.93,4577.06,4579.29,
1787316780,4579.3,4579.3,4578.23,4578.64,
1787316840,4578.63,4580.96,4578.46,4579.93,
1787316900,4579.93,4581.01,4578.48,4578.81,
1787316960,4578.81,4579.72,4577.97,4578.38,
1787317020,4578.22,4578.37,4575.21,4576.27,
1787317080,4576.3,4578.45,4576.19,4576.97,
1787317140,4576.97,4578.14,4574.93,4578.03,
1787317200,4577.99,4582.81,4575.86,4582.13,
1787317260,4582.13,4583.5,4579.52,4582.2,
1787317320,4582.2,4584.02,4582.01,4583.97,
1787317380,4583.97,4584.63,4580.89,4582.09,
1787317440,4582.07,4583.12,4579.88,4581.16,
1787317500,4581.16,4581.56,4580.24,4580.81,
1787317560,4580.8,4583.91,4580.71,4582.94,
1787317620,4582.93,4583.06,4579.64,4581.34,
1787317680,4581.41,4583.08,4581.33,4582.75,
1787317740,4582.75,4583.29,4579.36,4580.99,
1787317800,4580.99,4581.9,4580.34,4580.98,
1787317860,4580.98,4587,4580.98,4584.61,
1787317920,4584.59,4585.53,4583.87,4585.03,
1787317980,4585.03,4586.71,4583.73,4583.89,
1787318040,4583.89,4584.95,4582.87,4584.95,
1787318100,4585.16,4587.74,4585.16,4586.97,
1787318160,4586.97,4586.97,4583.89,4584.11,
1787318220,4584.11,4585.28,4581.06,4582.01,
1787318280,4582.01,4582.46,4580.49,4580.79,
1787318340,4580.78,4581.16,4579.76,4580.88,
1787318400,4580.88,4583.55,4579.19,4583.52,
1787318460,4583.53,4585.85,4583.13,4585.41,
1787318520,4585.41,4586.84,4583.45,4584.37,
1787318580,4584.37,4584.37,4583.03,4583.08,
1787318640,4583.05,4583.92,4582.92,4583.12,
1787318700,4583.12,4584.09,4582.94,4583.41,
1787318760,4583.47,4583.77,4581.94,4582.21,
1787318820,4582.21,4582.53,4581.53,4582.05,
1787318880,4582.04,4584.35,4581.81,4584.33,
1787318940,4584.33,4585.44,4583.65,4584.16,
1787319000,4584.12,4585.51,4581.38,4582.71,
1787319060,4582.46,4586.92,4581.67,4582.44,
1787319120,4582.44,4585.26,4582.06,4584.54,
1787319180,4584.55,4585.01,4576.49,4577.19,
1787319240,4577.19,4577.23,4573.69,4573.94,
1787319300,4573.92,4580.9,4573.42,4580.89,
1787319360,4580.91,4583.65,4577.97,4582.62,
1787319420,4582.63,4587.92,4579.75,4587.61,
1787319480,4587.45,4591.03,4587.24,4589.05,
1787319540,4589.06,4589.94,4584.65,4587.31,
1787319600,4587.31,4589.97,4586.63,4589.74,
1787319660,4589.72,4590.64,4587.44,4589.6,
1787319720,4589.6,4590.04,4586.44,4588.63,
1787319780,4588.62,4588.66,4586.71,4586.94,
1787319840,4586.94,4588.57,4584.67,4587.91,
1787319900,4587.97,4588.49,4583.71,4587.4,
1787319960,4587.39,4589.65,4586.81,4589.21,
1787320020,4589.21,4590.78,4589.09,4590.47,
1787320080,4590.48,4593.06,4588.32,4588.91,
1787320140,4588.91,4590.47,4588.14,4589.89,
1787320200,4589.85,4591.16,4589.19,4589.91,
1787320260,4589.92,4590.12,4584.87,4585.86,
1787320320,4585.88,4585.99,4581.66,4582.86,
1787320380,4582.86,4584.16,4579.97,4579.97,
1787320440,4579.99,4581.37,4576.9,4581.35,
1787320500,4581.35,4585.51,4581.35,4584.19,
1787320560,4584.19,4585.74,4583.6,4583.72,
1787320620,4583.72,4584.93,4581.23,4582.13,
1787320680,4582.13,4583.68,4580.17,4581.97,
1787320740,4582.05,4583.08,4580.97,4581.01,
1787320800,4581.01,4583.37,4579.9,4580.75,
1787320860,4580.75,4583.64,4580.4,4582.01,
1787320920,4582.01,4586.88,4580.9,4586.88,
1787320980,4586.89,4588.93,4584.84,4585.07,
1787321040,4585.07,4588.55,4585.07,4588.54,
1787321100,4588.55,4590.78,4588.55,4590.09,
1787321160,4590.09,4590.15,4587.6,4588.83,
1787321220,4588.9,4588.9,4583.05,4583.34,
1787321280,4583.34,4587.13,4583.23,4586.34,
1787321340,4586.35,4588.31,4586.32,4587.42,
1787321400,4587.42,4587.84,4585.37,4586.34,
1787321460,4586.35,4588.03,4586.28,4588.02,
1787321520,4588.02,4589.92,4587.78,4588.67,
1787321580,4588.7,4589.52,4588.28,4589.32,
1787321640,4589.32,4589.97,4588.78,4589.61,
1787321700,4589.67,4590.43,4586.47,4589.01,
1787321760,4589.02,4589.08,4587.26,4588.66,
1787321820,4588.65,4590.77,4587.83,4590.74,
1787321880,4590.73,4590.84,4589.42,4590.17,
1787321940,4590.18,4591.2,4589.55,4590.31,
1787322000,4590.3,4592.66,4589.96,4592.24,
1787322060,4592.24,4597.16,4592.06,4597.04,
1787322120,4597.04,4597.74,4595.93,4595.99,
1787322180,4596.02,4597.69,4595.89,4596.98,
1787322240,4596.99,4598.34,4596.81,4597.83,
1787322300,4597.85,4600.58,4597.85,4599.83,
1787322360,4599.83,4600.7,4598.83,4599.1,
1787322420,4599.1,4603,4598.74,4602.17,
1787322480,4602.17,4603.01,4601.75,4602.9,
1787322540,4602.93,4603.25,4601.91,4603.17,
1787322600,4603.17,4603.73,4599.9,4600.75,
1787322660,4600.75,4601.46,4599.3,4600.82,
1787322720,4600.82,4600.82,4595.52,4596.28,
1787322780,4596.28,4596.41,4592.97,4593.72,
1787322840,4593.68,4593.68,4589.84,4589.85,
1787322900,4589.99,4592.74,4588.29,4591.41,
