strategy,symbol,market_type,from,to,quantity,fee_rate,cooldown_seconds,close_mode,it_breakout_n,it_cooldown_bars,it_sep_gate,it_sl_atr,it_trend_ema,rows_total,rows_sqlite,rows_api,missing_ranges,candles_fed,warmup_candles,signal_count,entry_signal_count,trade_count,net_pnl,gross_profit,gross_loss,total_fees,return_pct,win_rate,profit_factor,max_drawdown_pct,exit_code,error
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.15,1.5,200,19589,19589,0,0,19589,270,48,48,48,-16.294478599999984,0.08606180000001165,-16.380540399999997,15.118678600000003,0.0,0.020833333333333332,0.005253904810125292,0.0,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.3,1.5,200,19589,19589,0,0,19589,426,50,50,50,-15.310749399999969,1.431315400000006,-16.742064799999977,15.771749400000003,0.0,0.04,0.08549216701156287,14018.863090909063,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.5,1.5,200,19589,19589,0,0,19589,426,49,49,49,-17.251804599999936,0.08606180000001165,-17.337866399999946,15.454404600000004,0.0,0.02040816326530612,0.004963805696415559,15783.458727272668,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.15,1.5,200,19589,19589,0,0,19589,385,48,48,48,-16.194590199999904,0.08606180000001165,-16.280651999999918,15.1151902,0.0,0.020833333333333332,0.005286139646005091,50083.303086428445,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.3,1.5,200,19589,19589,0,0,19589,385,50,50,50,-15.45722259999989,1.431315400000006,-16.888537999999897,15.773022600000001,0.0,0.04,0.08475069896518068,47807.47716050206,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.5,1.5,200,19589,19589,0,0,19589,426,49,49,49,-17.268587399999955,0.08606180000001165,-17.354649199999965,15.454387400000003,0.0,0.02040816326530612,0.004959005451980661,15798.715818181776,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.15,1.5,400,19589,19589,0,0,19589,531,48,48,48,-16.925660600000086,0.08606180000001165,-17.011722400000096,15.118660600000002,0.0,0.020833333333333332,0.005058970395614448,22910.863342314595,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.3,1.5,400,19589,19589,0,0,19589,531,50,50,50,-15.573944400000062,1.5304454000000176,-17.10438980000008,15.774344400000006,0.0,0.06,0.08947676110608811,21089.143396223204,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.5,1.5,400,19589,19589,0,0,19589,531,49,49,49,-17.061664400000048,0.18519180000002328,-17.24685620000007,15.450864400000004,0.0,0.04081632653061224,0.010737713462237976,23094.156873311822,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.15,1.5,400,19589,19589,0,0,19589,531,48,48,48,-16.954960999999994,0.08606180000001165,-17.041022800000004,15.117561,0.0,0.020833333333333332,0.005050271982501639,22950.351752017967,0,
